Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"920,848","401,035","519,813","78,387","45,160","64,843","103,467","38,809",Bye,"39,482","62,068","43,542","61,091","65,750","39,198","60,439","46,654","70,024","44,723","57,211"
Atlanta Falcons,"1,104,620","565,106","539,514","70,806","66,030","72,032","69,552","71,079","65,562","70,995",Bye,"72,187","71,001","70,794","62,390","73,661","70,083","62,170","65,482","70,796"
Baltimore Ravens,"1,097,015","563,076","533,939","70,501","69,149",Bye,"70,479","61,201","70,196","62,102","64,178","70,540","66,107","70,601","65,680","69,909","75,651","70,604","70,246","69,871"
Buffalo Bills,"1,090,208","575,248","514,960","71,781","64,777","72,032","58,688","72,160","72,045","42,779","68,756",Bye,"72,093","65,602","71,440","72,051","71,810","71,887","65,485","76,822"
Carolina Panthers,"1,061,837","587,700","474,137","72,920","73,528","72,288","73,657","38,809","61,083",Bye,"73,502","65,014","73,529","62,156","71,440","73,661","73,467","32,551","73,436","70,796"
Chicago Bears,"1,015,156","496,965","518,191","90,138","62,019","62,045",Bye,"73,079","62,143","62,102","61,814","32,637","62,153","62,156","65,506","62,177","61,237","62,170","69,757","64,023"
Cincinnati Bengals,"1,069,357","526,469","542,888","73,013","65,763","62,045","65,714","66,137","69,149","66,104","65,940","70,540",Bye,"65,995","65,680","63,044","65,788","61,749","65,485","77,211"
Cleveland Browns,"1,081,072","578,330","502,742","73,013","70,400","57,127",Bye,"73,079","70,196","72,923","70,064","72,594","63,491","72,773","63,814","70,941","65,788","41,862","73,136","69,871"
Dallas Cowboys,"1,081,038","505,258","575,780","67,679","65,207","68,247","62,400","63,199","62,278","67,046","62,068",Bye,"67,739","62,670","63,273","78,645","63,432","90,588","73,436","63,131"
Denver Broncos,"1,167,388","608,790","558,598","72,324","75,310","76,381","66,045","75,880","76,571","78,516","76,530",Bye,"62,779","76,255","63,273","78,261","75,651","71,887","76,212","65,513"
Detroit Lions,"1,016,559","492,580","523,979","61,877","62,019",Bye,"64,994","61,201","61,083","72,923","61,814","63,813","61,091","62,670","62,390","61,375","70,019","61,749","63,747","63,794"
Green Bay Packers,"1,099,618","562,419","537,199","61,877","70,400","70,518","73,657","70,580",Bye,"64,278","65,940","70,607","71,001","70,610","67,665","62,177","70,019","70,604","69,757","69,928"
Houston Texans,"1,094,938","562,397","532,541","71,781","70,742",Bye,"65,714","70,430","66,196","70,621","70,064","64,613","57,209","70,481","70,010","69,909","69,149","70,024","70,025","67,970"
Indianapolis Colts,"1,005,498","457,373","548,125","70,501","56,460","57,127","69,149","68,084","57,307","70,621",Bye,"68,756","57,209","65,995","57,442","57,228","67,164","57,389","67,855","57,211"
Jacksonville Jaguars,"1,037,856","525,519","512,337","65,204","56,460","77,422","66,045","66,137","63,891",Bye,"65,251","64,613","66,107","69,149","39,198","70,941","67,164","64,764","70,025","65,485"
Kansas City Chiefs,"1,180,710","623,325","557,385","78,014","62,273","76,381","78,742",Bye,"78,083","68,350","65,750","79,033","72,093","70,481","78,025","78,261","63,432","78,625","75,956","77,211"
Miami Dolphins,"1,107,797","575,256","532,541","72,324","77,918","72,288",Bye,"72,160","65,168","68,350","61,643","72,187","73,405","72,773","49,097","72,051","65,026","72,650","72,001","68,756"
Minnesota Vikings,"1,063,788","511,960","551,828","63,939","65,763","63,952","69,552",Bye,"62,143","64,278","73,502","63,813","78,637","70,610","63,814","61,375","64,005","64,136","70,246","64,023"
New England Patriots,"1,136,903","550,048","586,855","68,756","73,528","64,868","68,756","71,079","76,571",Bye,"68,756","68,756","73,405","68,756","78,025","68,756","71,810","68,756","77,569","68,756"
New Orleans Saints,"970,678","417,270","553,408","72,920","68,031","63,952","58,688","70,580","65,562","64,586","61,643","32,637",Bye,"68,756","77,152","34,411","70,083","32,551","63,747","65,379"
